gene,rho,p_spin,p_fdr,p_maxt
ACSL6,0.5270559590277485,0.0022997700229977,0.037690675376906756,0.33696630336966304
SHD,0.525313798749003,0.0053994600539946005,0.049656904813115806,0.3474652534746525
CDR2L,0.5246421224969564,0.0007999200079992001,0.030952061744498195,0.35126487351264873
IDS,0.5242852944880567,0.0091990800919908,0.061568014228245586,0.35366463353664634
SLC16A6,0.5241383653079216,0.0046995300469953,0.0473658284631458,0.35426457354264573
PVALB,0.5240334158935392,0.0032996700329967,0.04142138977591602,0.3551644835516448
RHOBTB2,0.5238445069476512,0.0036996300369963003,0.043455072563187785,0.3565643435656434
NFKB1,0.5222912556147936,0.00039996000399960006,0.026219600262196004,0.36566343365663434
ZSCAN9,0.5214936400654883,0.0025997400259974,0.03886940740623793,0.3712628737126287
TBC1D30,0.5203391965072834,0.0023997600239976003,0.037794988468298964,0.37936206379362064
SCN4B,0.5202132572100248,0.0059994000599940004,0.052053618167595,0.3798620137986201
CCSER1,0.5201083077956424,0.0027997200279972004,0.040213207143705104,0.3808619138086191
MCF2,0.5194786113093489,0.0022997700229977,0.037690675376906756,0.3842615738426157
ENTPD4,0.5190378237689434,0.0035996400359964,0.043072135844137896,0.38676132386761325
CYB5R4,0.518932874354561,0.000999900009999,0.031175744214196468,0.38706129387061294
APOL2,0.5188699047059316,0.0017998200179982,0.03642379825342004,0.38776122387761225
IFFO1,0.5185970362285378,0.0044995500449955,0.046448921729630534,0.3895610438956104
NGLY1,0.5183241677511439,0.0004999500049995,0.02719586197408628,0.39146085391460855
MRGPRF,0.5179463498593677,0.0011998800119988001,0.032751173281248394,0.39466053394660533
CDS1,0.51740061290458,0.0011998800119988001,0.032751173281248394,0.39716028397160286
ATP1A4,0.5166239872381512,0.0012998700129987,0.03356903366902367,0.40285971402859716
DTWD2,0.5161831996977456,0.0021997800219978004,0.03749402837494029,0.405959404059594
PPIL3,0.5158683514545989,0.003999600039996,0.044523849501842266,0.40845915408459155
TMEM229B,0.5158473615717223,0.0038996100389961006,0.04424557544245576,0.4086591340865913
CELF2,0.5155954829772049,0.0029997000299970002,0.04064964528282154,0.41085891410858916
ZBED5,0.5155325133285756,0.0046995300469953,0.0473658284631458,0.41145885411458855
SORBS3,0.5154485537970698,0.0026997300269973002,0.039668446948408605,0.41185881411858816
KCNAB3,0.515364594265564,0.0071992800719928,0.05571995777213398,0.41245875412458755
ELMOD3,0.5149657864909113,0.0028997100289971,0.040364384614170155,0.41475852414758524
CABP1,0.5148398471936526,0.0023997600239976003,0.037794988468298964,0.41575842415758424
PDZD8,0.5141261911758532,0.0024997500249975004,0.03850016604765226,0.42125787421257876
SNRNP35,0.5136014441039418,0.0020997900209979003,0.03728099412280995,0.4246575342465753
RELT,0.5131186767977833,0.0026997300269973002,0.039668446948408605,0.4276572342765723
EPN3,0.5127618487888836,0.0064993500649935,0.05354459183512368,0.43005699430056993
TRMT61B,0.5124889803114898,0.0012998700129987,0.03356903366902367,0.43215678432156784
LINC01637,0.5122580915998488,0.007399260073992601,0.05630190949159052,0.4336566343365663
MGST2,0.5119642332395785,0.0011998800119988001,0.032751173281248394,0.43525647435256476
LOC100294145,0.511754334410814,0.001999800019998,0.03728099412280995,0.43675632436756323
TTC39A,0.5113555266361614,0.0015998400159984002,0.034663200346632006,0.43945605439456054
MGARP,0.5109777087443852,0.0028997100289971,0.040364384614170155,0.4420557944205579
GSTT1,0.5109357289786323,0.0018998100189981002,0.0367041381504167,0.44215578442155784
NARS,0.5108937492128793,0.0021997800219978004,0.03749402837494029,0.44245575442455753
NUB1,0.5100541538978213,0.0029997000299970002,0.04064964528282154,0.44815518448155184
C1RL,0.5099911842491919,0.004999500049995001,0.04841687548416875,0.44825517448255175
DHX35,0.5098862348348097,0.0032996700329967,0.04142138977591602,0.4490550944905509
GPR108,0.5093824776457747,0.000999900009999,0.031175744214196468,0.45145485451454853
POU3F2,0.5088577305738634,0.0015998400159984002,0.034663200346632006,0.45445455454454553
ITM2A,0.5084169430334579,0.0030996900309969004,0.04106152424481213,0.45735426457354267
ERCC4,0.5083959531505814,0.0047995200479952005,0.04780820619236778,0.45745425457454253
SPART,0.5080391251416818,0.0011998800119988001,0.032751173281248394,0.46005399460054
LGI2,0.5073464590067586,0.00019998000199980003,0.023240100232401004,0.46405359464053597
NAAA,0.5070945804122413,0.008099190080991902,0.05822004491209736,0.4654534546545345
KCNH6,0.5070945804122412,0.0023997600239976003,0.037794988468298964,0.4654534546545345
NHLRC2,0.5064019142773183,0.0014998500149985001,0.03465014944288704,0.46995300469953005
JAM2,0.5062549850971831,0.0011998800119988001,0.032751173281248394,0.47095290470952905
ANKH,0.5060660761512951,0.0023997600239976003,0.037794988468298964,0.47165283471652836
CERK,0.5060031065026657,0.0044995500449955,0.046448921729630534,0.47225277472252775
ZBTB1,0.5057722177910247,0.0016998300169983002,0.035622120848024484,0.47355264473552644
LOC220729,0.5057092481423954,0.004399560043995601,0.046416266213818794,0.47425257474252575
NIPA1,0.505415389782125,0.0022997700229977,0.037690675376906756,0.4767523247675233
PPARD,0.5042819361067965,0.0007999200079992001,0.030952061744498195,0.48385161483851613
MICU3,0.5041350069266614,0.0004999500049995,0.02719586197408628,0.48455154484551544
MIR600HG,0.5040510473951556,0.0030996900309969004,0.04106152424481213,0.48495150484951505
SLC19A2,0.5039670878636497,0.0012998700129987,0.03356903366902367,0.48555144485551444
CDKN1B,0.5039670878636496,0.0025997400259974,0.03886940740623793,0.48555144485551444
ATP10A,0.5039251080978967,0.0008999100089991,0.030952061744498195,0.48595140485951405
GPR161,0.5034423407917383,0.0045995400459954,0.046912861905298836,0.48905109489051096
NDRG3,0.503379371143109,0.0018998100189981002,0.0367041381504167,0.48955104489551043
NIPAL2,0.503337391377356,0.005699430056994301,0.05071302614518131,0.49035096490350966
PELI3,0.5032324419629738,0.0031996800319968005,0.04117709034465681,0.49085091490850913
NKX3-1,0.5027076948910624,0.0020997900209979003,0.03728099412280995,0.49445055494450557
KCNC4,0.502686705008186,0.005099490050994901,0.04864812026260061,0.4948505149485051
UBAP1,0.5021199781705217,0.007399260073992601,0.05630190949159052,0.4978502149785021
OSBPL6,0.5020570085218925,0.005699430056994301,0.05071302614518131,0.49825017498250174
KREMEN1,0.5020570085218924,0.0117988201179882,0.06855829568558296,0.49825017498250174
CRABP1,0.5017841400444986,0.0025997400259974,0.03886940740623793,0.5003499650034996
HSPB2,0.5016582007472398,0.0011998800119988001,0.032751173281248394,0.5015498450154985
ANKRD13A,0.5013853322698459,0.0011998800119988001,0.032751173281248394,0.5034496550344966
PASK,0.5011754334410813,0.004199580041995801,0.04549545045495451,0.5047495250474953
DNAJC4,0.5006296964862935,0.0018998100189981002,0.0367041381504167,0.5082491750824918
LRPAP1,0.5002938583602703,0.010498950104989501,0.06536278190362782,0.5097490250974902
HSD11B1,0.5002098988287644,0.0008999100089991,0.030952061744498195,0.5104489551044895
TPTE2P6,0.5001049494143822,0.0028997100289971,0.040364384614170155,0.5109489051094891
SLC16A7,0.49993703035137066,0.004299570042995701,0.04592994739523262,0.512048795120488
MOGAT2,0.4991604046849418,0.0020997900209979003,0.03728099412280995,0.5167483251674833
KCNS1,0.49913941480206536,0.0086991300869913,0.06016440736449349,0.5168483151684832
ABCA6,0.498425758784266,0.007599240075992401,0.056809133901424676,0.5205479452054794
MOGAT1,0.4984257587842659,0.0031996800319968005,0.04117709034465681,0.5205479452054794
SEMA6D,0.4984257587842659,0.0025997400259974,0.03886940740623793,0.5205479452054794
MAP9,0.4982788296041308,0.0033996600339966003,0.04212502820800311,0.5211478852114788
C6orf47,0.49777507241509583,0.005599440055994401,0.05017255283817412,0.5241475852414759
FRAT1,0.49767012300071367,0.0105989401059894,0.06555957307495057,0.5243475652434757
KBTBD3,0.4973342848746902,0.0052994700529947,0.049269012492690126,0.527047295270473
FKBP5,0.497229335460308,0.014798520147985201,0.07653718781864227,0.5281471852814719
APIP,0.4971033961630493,0.0017998200179982,0.03642379825342004,0.5292470752924707
TAS2R14,0.49672557827127317,0.008999100089991,0.06119068944169412,0.5317468253174683
LOC727896,0.49666260862264383,0.0040995900409959,0.04504850374561398,0.5321467853214679
HERC2P9,0.4965366693253851,0.0013998600139986002,0.03452387880183043,0.533046695330467
ST6GALNAC1,0.49653666932538504,0.0013998600139986002,0.03452387880183043,0.533046695330467
SYNE4,0.4963687502623734,0.004899510048995101,0.04793270672932707,0.5337466253374663
ARID5B,0.4962428109651147,0.0004999500049995,0.02719586197408628,0.5342465753424658
MAX,0.49615885143360894,0.0007999200079992001,0.030952061744498195,0.5346465353464653
SLC38A2,0.49603291213635026,0.0084991500849915,0.05942432192514567,0.5358464153584641
LRCH1,0.4960329121363502,0.0016998300169983002,0.035622120848024484,0.5358464153584641
SEC14L1,0.4958440031904622,0.0033996600339966003,0.04212502820800311,0.5366463353664633
RRNAD1,0.49565509424457405,0.0017998200179982,0.03642379825342004,0.537946205379462
PECR,0.49548717518156243,0.0030996900309969004,0.04106152424481213,0.5393460653934606
RHOBTB1,0.49542420553293304,0.0014998500149985001,0.03465014944288704,0.53994600539946
ZMAT4,0.49538222576718016,0.0006999300069993001,0.030330300303303002,0.5401459854014599
HNRNPA1L2,0.4951303471726628,0.0058994100589941,0.05177171070078347,0.5425457454254574
ZYX,0.4948994584610217,0.004199580041995801,0.04549545045495451,0.5435456454354565
TBC1D4,0.4946895596322572,0.004999500049995001,0.04841687548416875,0.5446455354464553
NR3C2,0.49433273162335756,0.007899210078992101,0.057701848862732774,0.5476452354764524
FBXO33,0.49426976197472816,0.0028997100289971,0.040364384614170155,0.547945205479452
HSBP1L1,0.49418580244322236,0.0017998200179982,0.03642379825342004,0.5483451654834517
DPP8,0.4941018429117165,0.0018998100189981002,0.0367041381504167,0.5487451254874512
ACYP2,0.4937030351370639,0.004899510048995101,0.04793270672932707,0.5517448255174483
TTC21B,0.49366105537131094,0.0112988701129887,0.06718010369505685,0.5523447655234477
LEPROTL1,0.4925905713446118,0.004199580041995801,0.04549545045495451,0.5595440455954405
SETD7,0.49227572310146506,0.004299570042995701,0.04592994739523262,0.5620437956204379
MID2,0.49154107720078916,0.0032996700329967,0.04142138977591602,0.5665433456654334
NR3C1,0.4912891986062717,0.0030996900309969004,0.04106152424481213,0.5682431756824318
TFAM,0.49103732001175426,0.0066993300669933005,0.05391800798933748,0.5701429857014298
CACNB4,0.49099534024600133,0.000999900009999,0.031175744214196468,0.5706429357064293
FMN1,0.4908903908316191,0.0035996400359964,0.043072135844137896,0.5717428257174283
RICTOR,0.4908274211829897,0.0011998800119988001,0.032751173281248394,0.5720427957204279
SSH3,0.4906175223542252,0.010998900109989001,0.06632198415378589,0.5741425857414258
DDX3Y,0.49047059317409,0.000999900009999,0.031175744214196468,0.5749425057494251
EPB41,0.4903446538768313,0.009799020097990201,0.06374765407259105,0.5756424357564244
PCTP,0.4902606943453255,0.0040995900409959,0.04504850374561398,0.5764423557644236
LCA5,0.4900717853994375,0.007699230076992301,0.057111310145581184,0.5782421757824218
PLCL1,0.48996683598505514,0.00039996000399960006,0.026219600262196004,0.5788421157884212
SOAT1,0.4899038663364258,0.0036996300369963003,0.043455072563187785,0.5792420757924207
SLC46A3,0.48977792703916706,0.0066993300669933005,0.05391800798933748,0.5800419958004199
SLC15A4,0.489589018093279,0.0013998600139986002,0.03452387880183043,0.5813418658134186
PRDM2,0.4893791192645145,0.0036996300369963003,0.043455072563187785,0.5823417658234177
NR2C1,0.4890222912556148,0.007699230076992301,0.057111310145581184,0.5854414558544145
RELL2,0.48900130137273834,0.0024997500249975004,0.03850016604765226,0.5858414158584142
CKMT1B,0.48893833172410894,0.012698730126987301,0.07109435041897269,0.5860413958604139
SLC20A2,0.4887914025439738,0.0021997800219978004,0.03749402837494029,0.5868413158684131
CCDC58,0.48877041266109733,0.016298370162983702,0.08044304964612935,0.5869413058694131
MCF2L,0.4887284328953444,0.005599440055994401,0.05017255283817412,0.5871412858714129
LOC101928673,0.48826665547206244,0.0012998700129987,0.03356903366902367,0.5904409559044096
SMIM3,0.4881197262919273,0.004999500049995001,0.04841687548416875,0.5914408559144085
FLJ23867,0.48784685781453335,0.0066993300669933005,0.05391800798933748,0.5932406759324068
OXNAD1,0.4871122119138575,0.0065993400659934,0.05390515261572884,0.5972402759724028
PPARGC1A,0.48696528273372225,0.010198980101989802,0.06491798952884795,0.5980401959804019
THEM4,0.48694429285084584,0.0015998400159984002,0.034663200346632006,0.5982401759824018
SLC24A2,0.4867973636707106,0.0036996300369963003,0.043455072563187785,0.5993400659934006
SYT15,0.4866924142563284,0.000999900009999,0.031175744214196468,0.6004399560043996
NAT8L,0.4866294446076991,0.0035996400359964,0.043072135844137896,0.6008399160083991
TNF,0.4866084547248226,0.0034996500349965005,0.04274254103252095,0.6009399060093991
RASGRF1,0.48660845472482256,0.0045995400459954,0.046912861905298836,0.6009399060093991
HCN1,0.48637756601318166,0.00029997000299970003,0.023240100232401004,0.6029397060293971
RASSF8,0.4862726165987993,0.0011998800119988001,0.032751173281248394,0.6036396360363964
ZNF444,0.485978758238529,0.0020997900209979003,0.03728099412280995,0.6060393960603939
LRRC37A4P,0.48585281894127025,0.015798420157984203,0.0787866596955389,0.6069393060693931
SZT2,0.4854120314008647,0.008899110088991101,0.060726133792314715,0.6103389661033897
ABHD17B,0.4852021325721002,0.0023997600239976003,0.037794988468298964,0.6111388861113889
TBC1D19,0.485097183157718,0.0023997600239976003,0.037794988468298964,0.6115388461153884
NEU4,0.48440451702279497,0.0011998800119988001,0.032751173281248394,0.6141385861413858
PEPD,0.48438352713991856,0.0028997100289971,0.040364384614170155,0.6143385661433857
MTAP,0.4843835271399185,0.009599040095990401,0.06298087043305935,0.6143385661433857
SYNDIG1,0.4842156080769069,0.0021997800219978004,0.03749402837494029,0.6154384561543845
RWDD1,0.4840266991310188,0.0029997000299970002,0.04064964528282154,0.6165383461653835
HYLS1,0.483942739599513,0.0023997600239976003,0.037794988468298964,0.6175382461753824
RPGR,0.4837328407707484,0.007599240075992401,0.056809133901424676,0.6187381261873812
CASP8AP2,0.4837328407707484,0.006199380061993801,0.05248261045860094,0.6187381261873812
DENND4C,0.48268334662692586,0.0025997400259974,0.03886940740623793,0.6247375262473752
C6orf106,0.4826833466269258,0.0031996800319968005,0.04117709034465681,0.6247375262473752
PRPF4B,0.48266235674404934,0.0033996600339966003,0.04212502820800311,0.624937506249375
STARD9,0.48241047814953186,0.009299070092990702,0.06180577782776315,0.6263373662633737
SLC4A8,0.48230552873514965,0.004999500049995001,0.04841687548416875,0.6266373362663734
RBMS1,0.48207464002350864,0.005599440055994401,0.05017255283817412,0.6277372262773723
LGI3,0.4820326602577557,0.0014998500149985001,0.03465014944288704,0.6278372162783722
SDSL,0.48182276142899116,0.008999100089991,0.06119068944169412,0.6291370862913709
PIM1,0.4818227614289911,0.004399560043995601,0.046416266213818794,0.6291370862913709
FAM135B,0.4818017715461147,0.010498950104989501,0.06536278190362782,0.6292370762923708
TIFA,0.48171781201460895,0.0035996400359964,0.043072135844137896,0.6297370262973703
DDX46,0.4816968221317325,0.004299570042995701,0.04592994739523262,0.6298370162983702
FAM76B,0.48163385248310303,0.0066993300669933005,0.05391800798933748,0.6304369563043696
MC1R,0.4815079131858444,0.007699230076992301,0.057111310145581184,0.631036896310369
RAB40AL,0.4813399941228327,0.0057994200579942,0.051364378573689966,0.6321367863213678
RCC2,0.4810251458796859,0.009799020097990201,0.06374765407259105,0.6338366163383662
KDM7A,0.48066831787078623,0.0040995900409959,0.04504850374561398,0.6362363763623637
ABTB2,0.48045841904202163,0.0037996200379962005,0.04389018929432358,0.6375362463753624
BTBD3,0.48039544939339235,0.007399260073992601,0.05630190949159052,0.6378362163783622
POU3F4,0.4803534696276394,0.0032996700329967,0.04142138977591602,0.6382361763823617
KCNA3,0.4802485202132572,0.006299370062993701,0.05251757432952357,0.639036096390361
ACTN4,0.48024852021325715,0.0025997400259974,0.03886940740623793,0.639036096390361
REPIN1,0.48008060115024553,0.008899110088991101,0.060726133792314715,0.6399360063993601
NREP,0.48003862138449266,0.0032996700329967,0.04142138977591602,0.6402359764023597
LRRC49,0.4797027832584694,0.0086991300869913,0.06016440736449349,0.643035696430357
SMC2,0.47947189454682837,0.0038996100389961006,0.04424557544245576,0.6446355364463554
VWC2,0.47940892489819903,0.012398760123987601,0.07039118441967794,0.6452354764523548
FAM78B,0.4794089248981989,0.0021997800219978004,0.03749402837494029,0.6452354764523548
C8orf31,0.4793459552495697,0.0016998300169983002,0.035622120848024484,0.6453354664533547
FUT11,0.4792619957180638,0.00019998000199980003,0.023240100232401004,0.6457354264573543
USP8,0.4792410058351873,0.009999000099990002,0.06444733677892715,0.6458354164583542
TLE2,0.47917803618655797,0.0082991700829917,0.05866786593230077,0.646035396460354
FLT3,0.47884219806053474,0.011198880111988802,0.06700110020199228,0.6481351864813518
MYLK2,0.47871625876327606,0.0011998800119988001,0.032751173281248394,0.6488351164883511
ZNF684,0.47867427899752313,0.0024997500249975004,0.03850016604765226,0.6488351164883511
PRSS56,0.4786322992317703,0.0022997700229977,0.037690675376906756,0.649035096490351
NT5M,0.4783384408714999,0.008099190080991902,0.05822004491209736,0.650934906509349
DCAF8L2,0.4781915116913647,0.0020997900209979003,0.03728099412280995,0.6516348365163483
RNF113A,0.4780026027454767,0.0029997000299970002,0.04064964528282154,0.6531346865313469
ATRNL1,0.4778556735653415,0.0051994800519948,0.04899264373316967,0.6537346265373463
