cell,stability_threshold,gene_set,n_genes,target,rho,p_spin,direction_h1,probe_selection,lr_mirror,missing,p_fdr
01e98e73f708,0.2,interneuron_subclass,3,discordance_overshoot,-0.05498594199819928,0.7476252374762524,,diff_stability,,,0.7476252374762524
01e98e73f708,0.2,interneuron_subclass,3,coupling_angle,-0.11413729128014842,0.35626437356264373,,diff_stability,,,0.8906609339066094
01e98e73f708,0.2,interneuron_subclass,3,baseline_oef,-0.09714285714285714,0.630936906309369,,diff_stability,,,0.630936906309369
01e98e73f708,0.2,interneuron_subclass,3,macaque_vascular_CONTROL,0.04411140496947138,0.7934206579342066,,diff_stability,,,0.8954104589541046
01e98e73f708,0.2,HALLMARK_GLYCOLYSIS,56,discordance_extraction,-0.0028592904085547486,0.9847015298470153,positive,diff_stability,,,0.998000199980002
01e98e73f708,0.2,HALLMARK_GLYCOLYSIS,56,discordance_overshoot,0.07118964860035273,0.674032596740326,positive,diff_stability,,,0.7476252374762524
01e98e73f708,0.2,HALLMARK_GLYCOLYSIS,56,coupling_angle,-0.02654298082869511,0.8393160683931606,positive,diff_stability,,,0.9907009299070093
01e98e73f708,0.2,HALLMARK_GLYCOLYSIS,56,baseline_oef,-0.13106988249845394,0.5089491050894911,positive,diff_stability,,,0.630936906309369
01e98e73f708,0.2,HALLMARK_GLYCOLYSIS,56,macaque_vascular_CONTROL,-0.37016358115388387,0.051794820517948204,positive,diff_stability,,,0.258974102589741
01e98e73f708,0.2,HALLMARK_OXIDATIVE_PHOSPHORYLATION,34,discordance_extraction,0.0004713797636662926,0.998000199980002,negative,diff_stability,,,0.998000199980002
01e98e73f708,0.2,HALLMARK_OXIDATIVE_PHOSPHORYLATION,34,discordance_overshoot,0.09854309284914682,0.5461453854614539,negative,diff_stability,,,0.7476252374762524
01e98e73f708,0.2,HALLMARK_OXIDATIVE_PHOSPHORYLATION,34,coupling_angle,-0.0014223871366728508,0.9907009299070093,negative,diff_stability,,,0.9907009299070093
01e98e73f708,0.2,HALLMARK_OXIDATIVE_PHOSPHORYLATION,34,baseline_oef,-0.20755720470006184,0.2796720327967203,negative,diff_stability,,,0.46612005466120054
01e98e73f708,0.2,HALLMARK_OXIDATIVE_PHOSPHORYLATION,34,macaque_vascular_CONTROL,-0.02210467887811408,0.8954104589541045,negative,diff_stability,,,0.8954104589541046
01e98e73f708,0.2,HALLMARK_ANGIOGENESIS,10,discordance_extraction,0.16048620243243844,0.2722727727227277,positive,diff_stability,,,0.6806819318068192
01e98e73f708,0.2,HALLMARK_ANGIOGENESIS,10,discordance_overshoot,-0.07528863446488525,0.6539346065393461,positive,diff_stability,,,0.7476252374762524
01e98e73f708,0.2,HALLMARK_ANGIOGENESIS,10,coupling_angle,0.05297464440321583,0.6793320667933207,positive,diff_stability,,,0.9907009299070093
01e98e73f708,0.2,HALLMARK_ANGIOGENESIS,10,baseline_oef,-0.3410513296227582,0.0744925507449255,positive,diff_stability,,,0.34796520347965204
01e98e73f708,0.2,HALLMARK_ANGIOGENESIS,10,macaque_vascular_CONTROL,0.1424342355873358,0.406959304069593,positive,diff_stability,,,0.8954104589541046
01e98e73f708,0.2,HALLMARK_HYPOXIA,63,discordance_extraction,0.2609831275730297,0.0746925307469253,positive,diff_stability,,,0.3734626537346265
01e98e73f708,0.2,HALLMARK_HYPOXIA,63,discordance_overshoot,-0.0857748448989616,0.6047395260473952,positive,diff_stability,,,0.7476252374762524
01e98e73f708,0.2,HALLMARK_HYPOXIA,63,coupling_angle,-0.11783549783549783,0.34206579342065796,positive,diff_stability,,,0.8906609339066094
01e98e73f708,0.2,HALLMARK_HYPOXIA,63,baseline_oef,-0.2787631416202845,0.1391860813918608,positive,diff_stability,,,0.34796520347965204
01e98e73f708,0.2,HALLMARK_HYPOXIA,63,macaque_vascular_CONTROL,0.0715817198332626,0.6758324167583242,positive,diff_stability,,,0.8954104589541046
82f3a0226cf4,0.0,endothelial,6,discordance_extraction,0.10625272014956919,0.46225377462253775,negative,diff_stability,,,0.7816093390660934
