gene_set,mediator,outcome,adjusted,a_median,b_median,indirect_median,indirect_q1,indirect_q3,pct_consistent_sign,pct_indirect_sig,pct_a_sig,pct_b_sig,limiting_path,n_cells,stable_sign,supported
interneuron_subclass,baseline_oef,discordance_overshoot,False,-0.0412083861447369,0.11247608385739974,-0.004660935324041115,-0.010428761146445522,-0.00035314448560663255,0.7666666666666667,0.0,0.0,0.0,a,120,False,False
interneuron_subclass,baseline_oef,discordance_overshoot,True,-0.03573786999923384,0.04287810237028156,-0.001529728522550579,-0.004369888013637616,0.000568272417452536,0.6833333333333333,0.0,0.0,0.0,b,120,False,False
interneuron_subclass,baseline_oef,coupling_angle,False,-0.0412083861447369,0.13630795798028267,-0.005592630723425484,-0.010613720761935062,-0.00045338366292005025,0.7666666666666667,0.0,0.0,0.0,a,120,False,False
interneuron_subclass,baseline_oef,coupling_angle,True,-0.03573786999923384,0.12554025178864553,-0.004451700817968557,-0.010761417267648324,0.0020396167714640994,0.6833333333333333,0.0,0.0,0.0,a,120,False,False
interneuron_subclass,baseline_cbv,discordance_extraction,False,0.03273927392739272,0.22002813466151,0.007059600875898783,-0.0006323023074023633,0.021438875282064975,0.7416666666666667,0.0,0.0,0.0,a,120,False,False
interneuron_subclass,baseline_cbv,discordance_extraction,True,0.013873699862947727,0.2509333833399529,0.003481865266546603,-0.0053497237959891294,0.019791923729384486,0.5583333333333333,0.0,0.0,0.0,a,120,False,False
interneuron_subclass,baseline_cbv,discordance_overshoot,False,0.03273927392739272,-0.20502893283229456,-0.00669529911222983,-0.02024589330253128,0.0005701965300365021,0.7416666666666667,0.0,0.0,0.0,a,120,False,False
interneuron_subclass,baseline_cbv,discordance_overshoot,True,0.013873699862947727,-0.24624405234876745,-0.0033910246552400704,-0.01986346850561962,0.005020670331615137,0.5583333333333333,0.0,0.0,0.0,a,120,False,False
interneuron_subclass,baseline_cbv,coupling_angle,False,0.03273927392739272,-0.1321734552497711,-0.004239567389496826,-0.012041159986791995,0.000417694538044982,0.7416666666666667,0.0,0.0,0.0,a,120,False,False
interneuron_subclass,baseline_cbv,coupling_angle,True,0.013873699862947727,-0.15904541118231014,-0.0022895084781723576,-0.011901220652117397,0.0037015557679235017,0.5583333333333333,0.0,0.0,0.0,a,120,False,False
HALLMARK_GLYCOLYSIS,baseline_oef,discordance_extraction,False,-0.043498043681919216,-0.2879498087243739,0.012551383264633124,0.00501580653123272,0.019024761179931453,0.8833333333333333,0.0,0.0,0.0,a,120,True,False
HALLMARK_GLYCOLYSIS,baseline_oef,discordance_extraction,True,-0.0059978759922443056,-0.24071303675769126,0.0014467744523474606,-0.0026505702206933873,0.00925396630886084,0.5583333333333333,0.0,0.0,0.0,a,120,False,False
HALLMARK_GLYCOLYSIS,baseline_oef,discordance_overshoot,False,-0.043498043681919216,0.10987568805538991,-0.00494095634529907,-0.0072131099676704565,-0.0018951427745598863,0.8833333333333333,0.0,0.0,0.0,a,120,True,False
HALLMARK_GLYCOLYSIS,baseline_oef,discordance_overshoot,True,-0.0059978759922443056,0.039777734490495736,-0.0002426289899746462,-0.0015909174649256998,0.0004369887798242667,0.5583333333333333,0.0,0.0,0.0,a,120,False,False
HALLMARK_GLYCOLYSIS,baseline_oef,coupling_angle,False,-0.043498043681919216,0.14046813950139767,-0.006031677285646792,-0.00945213073253472,-0.0024890157532059813,0.8833333333333333,0.0,0.0,0.0,a,120,True,False
HALLMARK_GLYCOLYSIS,baseline_oef,coupling_angle,True,-0.0059978759922443056,0.12993216359531162,-0.0007812679032836342,-0.00500791580171358,0.0014445092463567157,0.5583333333333333,0.0,0.0,0.0,a,120,False,False
HALLMARK_GLYCOLYSIS,baseline_cbv,discordance_extraction,False,-0.11436733469265292,0.22057817890419723,-0.025115112100515133,-0.02878754061023604,-0.020064934672689723,1.0,0.0,0.0,0.0,a,120,True,False
HALLMARK_GLYCOLYSIS,baseline_cbv,discordance_extraction,True,-0.12216813402081103,0.2564438124897197,-0.031884644382862704,-0.03678939307740438,-0.026404186066788887,1.0,0.0,0.0,0.0,a,120,True,False
HALLMARK_GLYCOLYSIS,baseline_cbv,discordance_overshoot,False,-0.11436733469265292,-0.19613293594630787,0.022100322691606954,0.018038992495775518,0.025343689512736856,1.0,0.0,0.0,0.0,a,120,True,False
HALLMARK_GLYCOLYSIS,baseline_cbv,discordance_overshoot,True,-0.12216813402081103,-0.24021132349819596,0.029525099463076094,0.024757612854997585,0.033794352637327975,1.0,0.0,0.0,0.0,a,120,True,False
HALLMARK_GLYCOLYSIS,baseline_cbv,coupling_angle,False,-0.11436733469265292,-0.15034654421915783,0.017150305297585162,0.013652370164772876,0.019769462242193045,1.0,0.0,0.0,0.0,a,120,True,False
HALLMARK_GLYCOLYSIS,baseline_cbv,coupling_angle,True,-0.12216813402081103,-0.16995742636829747,0.020491157160320947,0.017466205831748155,0.023690810066015186,1.0,0.0,0.0,0.0,a,120,True,False
HALLMARK_OXIDATIVE_PHOSPHORYLATION,baseline_oef,discordance_extraction,False,-0.16126012601260128,-0.28449925164580403,0.04644153688088197,0.038858833502860055,0.054572159146985766,1.0,0.0,0.0,0.0,a,120,True,False
HALLMARK_OXIDATIVE_PHOSPHORYLATION,baseline_oef,discordance_extraction,True,-0.1397597359858211,-0.243935710883258,0.0345638538088152,0.02920836493084481,0.04291021672228794,1.0,0.0,0.0,0.0,a,120,True,False
