gene,rho,p_spin,p_fdr
GFM1,0.17834983498349832,0.10598940105989402,0.9994302520775813
RASGRP2,0.1781698169816982,0.13308669133086692,0.9994302520775813
ANKRD27,0.1778937893789379,0.10778922107789221,0.9994302520775813
CYP2E1,0.17773777377737776,0.1471852814718528,0.9994302520775813
FIZ1,0.17764176417641764,0.1257874212578742,0.9994302520775813
PAPSS2,0.1770897089708971,0.13358664133586642,0.9994302520775813
SAP30,0.17690969096909692,0.12088791120887911,0.9994302520775813
PMM2,0.1768976897689769,0.08869113088691132,0.9994302520775813
KIF17,0.17659765976597663,0.14038596140385962,0.9994302520775813
TNFSF10,0.17622562256225627,0.1321867813218678,0.9994302520775813
NOS2,0.17602160216021606,0.1581841815818418,0.9994302520775813
TMEM170B,0.17602160216021603,0.13018698130186981,0.9994302520775813
GDPD1,0.17574557455745576,0.13958604139586042,0.9994302520775813
TMTC4,0.1755055505550555,0.1484851514848515,0.9994302520775813
NECAB1,0.1754695469546955,0.1346865313468653,0.9994302520775813
TM6SF1,0.17530153015301536,0.13928607139286073,0.9994302520775813
SLITRK5,0.17496549654965501,0.11598840115988401,0.9994302520775813
ZFP64,0.1749054905490549,0.1451854814518548,0.9994302520775813
SLCO4A1,0.1746894689468947,0.1528847115288471,0.9994302520775813
EIF4E2,0.1746054605460546,0.14808519148085192,0.9994302520775813
SRSF8,0.17458145814581463,0.1511848815118488,0.9994302520775813
P2RY14,0.17432943294329434,0.1401859814018598,0.9994302520775813
CHML,0.17426942694269426,0.18368163183681632,0.9994302520775813
SLC36A1,0.17382538253825386,0.15178482151784822,0.9994302520775813
OSTF1,0.17372937293729376,0.14488551144885511,0.9994302520775813
ZBTB18,0.17364536453645368,0.10238976102389762,0.9994302520775813
ADGRA1,0.17360936093609364,0.14228577142285773,0.9994302520775813
SAPCD2,0.1734053405340534,0.15378462153784622,0.9994302520775813
ALDH1B1,0.17286528652865293,0.1161883811618838,0.9994302520775813
COL12A1,0.1728532853285329,0.14338566143385661,0.9994302520775813
TMEM268,0.1727812781278128,0.12268773122687732,0.9994302520775813
FRMD5,0.17267326732673266,0.13928607139286073,0.9994302520775813
ZC3H7B,0.1724932493249325,0.1484851514848515,0.9994302520775813
LANCL1,0.1722532253225323,0.14028597140285973,0.9994302520775813
UBE3D,0.17213321332133216,0.14678532146785322,0.9994302520775813
TMEM132C,0.1718811881188119,0.15928407159284072,0.9994302520775813
PTPN12,0.17183318331833186,0.16868313168683133,0.9994302520775813
PLEKHF1,0.1717851785178518,0.1406859314068593,0.9994302520775813
LGI3,0.17170117011701175,0.16228377162283772,0.9994302520775813
MAGEE1,0.1715811581158116,0.11028897110288971,0.9994302520775813
