name,tail,n_in_set,n_overlap,observed,null_mean,null_sd,z,p,n_draws,cell,target,primary
interneuron_subclass,positive,4,4,0.25,0.14565,0.1705464086399945,0.611856918196805,0.47825217478252174,10000,c1509b5525b6,macaque_vascular_CONTROL,True
interneuron_subclass,negative,4,4,0.0,0.2148,0.1963694477254545,-1.0938565163167,1.0,10000,c1509b5525b6,macaque_vascular_CONTROL,True
HALLMARK_GLYCOLYSIS,positive,200,99,0.0,0.0472,0.02013002362739968,-2.3447563139346954,1.0,10000,c1509b5525b6,macaque_vascular_CONTROL,True
HALLMARK_GLYCOLYSIS,negative,200,99,0.06060606060606061,0.04772121212121212,0.01973357034578336,0.6529405606320856,0.3230676932306769,10000,c1509b5525b6,macaque_vascular_CONTROL,True
HALLMARK_OXIDATIVE_PHOSPHORYLATION,positive,200,100,0.02,0.032518,0.017195338787008532,-0.7279879829676651,0.8503149685031497,10000,c1509b5525b6,macaque_vascular_CONTROL,True
HALLMARK_OXIDATIVE_PHOSPHORYLATION,negative,200,100,0.01,0.027476000000000004,0.014997647282157293,-1.1652494335422336,0.9501049895010499,10000,c1509b5525b6,macaque_vascular_CONTROL,True
HALLMARK_ANGIOGENESIS,positive,36,14,0.14285714285714285,0.056678571428571425,0.06100592769793534,1.412626193560663,0.18498150184981502,10000,c1509b5525b6,macaque_vascular_CONTROL,True
HALLMARK_ANGIOGENESIS,negative,36,14,0.0,0.055521428571428555,0.0583053498963055,-0.9522527292979448,1.0,10000,c1509b5525b6,macaque_vascular_CONTROL,True
HALLMARK_HYPOXIA,positive,200,101,0.0594059405940594,0.05474752475247526,0.021802712530753075,0.21366221450717984,0.48665133486651335,10000,c1509b5525b6,macaque_vascular_CONTROL,True
HALLMARK_HYPOXIA,negative,200,101,0.0297029702970297,0.05426633663366338,0.020711856529105895,-1.185956763562713,0.932006799320068,10000,c1509b5525b6,macaque_vascular_CONTROL,True
endothelial,positive,6,5,0.0,0.044320000000000005,0.09241070067908803,-0.4795981382492574,1.0,10000,01e98e73f708,discordance_extraction,False
endothelial,negative,6,5,0.0,0.04286,0.09019434793821617,-0.4751960735872212,1.0,10000,01e98e73f708,discordance_extraction,False
pericyte_mural,positive,5,3,0.0,0.0539,0.13036406713508136,-0.41345749012379,1.0,10000,01e98e73f708,discordance_extraction,False
pericyte_mural,negative,5,3,0.0,0.039966666666666664,0.1132960674025753,-0.35276305332516944,1.0,10000,01e98e73f708,discordance_extraction,False
astrocyte,positive,4,3,0.0,0.041,0.11434402282391308,-0.3585670591906581,1.0,10000,01e98e73f708,discordance_extraction,False
astrocyte,negative,4,3,0.6666666666666666,0.0432,0.11869842271721875,5.2525269704045074,0.006099390060993901,10000,01e98e73f708,discordance_extraction,False
glucose_lactate_transport,positive,5,3,0.0,0.047266666666666665,0.12151486420278888,-0.3889784758166388,1.0,10000,01e98e73f708,discordance_extraction,False
glucose_lactate_transport,negative,5,3,0.0,0.058733333333333325,0.13562757831650613,-0.43304860311131405,1.0,10000,01e98e73f708,discordance_extraction,False
glycolytic_enzymes,positive,6,5,0.0,0.0458,0.0932864406009791,-0.4909609553643887,1.0,10000,01e98e73f708,discordance_extraction,False
glycolytic_enzymes,negative,6,5,0.2,0.0433,0.08993947965159683,1.7422827061821662,0.20077992200779923,10000,01e98e73f708,discordance_extraction,False
interneuron_subclass,positive,4,4,0.0,0.047325,0.10490040216796122,-0.45114221701672413,1.0,10000,01e98e73f708,discordance_extraction,False
interneuron_subclass,negative,4,4,0.0,0.049475,0.10901134975313351,-0.45385182471403945,1.0,10000,01e98e73f708,discordance_extraction,False
HALLMARK_GLYCOLYSIS,positive,200,99,0.04040404040404041,0.04888888888888889,0.021531979950665418,-0.3940579781464208,0.7165283471652835,10000,01e98e73f708,discordance_extraction,False
HALLMARK_GLYCOLYSIS,negative,200,99,0.020202020202020204,0.04849090909090909,0.02118285532833661,-1.335461553714453,0.958904109589041,10000,01e98e73f708,discordance_extraction,False
HALLMARK_OXIDATIVE_PHOSPHORYLATION,positive,200,100,0.03,0.046755000000000005,0.020995713252947613,-0.7980200433365964,0.8502149785021498,10000,01e98e73f708,discordance_extraction,False
HALLMARK_OXIDATIVE_PHOSPHORYLATION,negative,200,100,0.03,0.04382700000000001,0.02022088205296693,-0.6837980639905484,0.8247175282471753,10000,01e98e73f708,discordance_extraction,False
HALLMARK_ANGIOGENESIS,positive,36,14,0.0,0.05117857142857142,0.05916630616925722,-0.8649952099792192,1.0,10000,01e98e73f708,discordance_extraction,False
HALLMARK_ANGIOGENESIS,negative,36,14,0.0,0.05655714285714285,0.06152205345422477,-0.9192986852954113,1.0,10000,01e98e73f708,discordance_extraction,False
HALLMARK_HYPOXIA,positive,200,101,0.06930693069306931,0.05201584158415842,0.021862334604192034,0.7909077151163617,0.27747225277472254,10000,01e98e73f708,discordance_extraction,False
HALLMARK_HYPOXIA,negative,200,101,0.0297029702970297,0.04925445544554456,0.02149965269882245,-0.9093860920639759,0.8828117188281172,10000,01e98e73f708,discordance_extraction,False
endothelial,positive,6,5,0.0,0.03346000000000001,0.08072439779893065,-0.4144967433927795,1.0,10000,01e98e73f708,discordance_overshoot,False
endothelial,negative,6,5,0.0,0.04676,0.09422049883119916,-0.49628266226623285,1.0,10000,01e98e73f708,discordance_overshoot,False
pericyte_mural,positive,5,3,0.0,0.03563333333333333,0.10628702753498294,-0.3352557142648956,1.0,10000,01e98e73f708,discordance_overshoot,False
pericyte_mural,negative,5,3,0.0,0.050533333333333326,0.1254403089565356,-0.4028476472490422,1.0,10000,01e98e73f708,discordance_overshoot,False
astrocyte,positive,4,3,0.6666666666666666,0.04209999999999999,0.11602121932359329,5.383210677390795,0.005499450054994501,10000,01e98e73f708,discordance_overshoot,False
astrocyte,negative,4,3,0.0,0.0444,0.12011927405708044,-0.36963260349793,1.0,10000,01e98e73f708,discordance_overshoot,False
glucose_lactate_transport,positive,5,3,0.0,0.060366666666666666,0.13609750997803824,-0.44355452701822323,1.0,10000,01e98e73f708,discordance_overshoot,False
glucose_lactate_transport,negative,5,3,0.0,0.047766666666666666,0.12372240882089405,-0.3860793458670512,1.0,10000,01e98e73f708,discordance_overshoot,False
glycolytic_enzymes,positive,6,5,0.0,0.03452,0.08114412856146772,-0.42541586941624077,1.0,10000,01e98e73f708,discordance_overshoot,False
glycolytic_enzymes,negative,6,5,0.0,0.04212,0.0893191222527405,-0.47156755393112554,1.0,10000,01e98e73f708,discordance_overshoot,False
interneuron_subclass,positive,4,4,0.0,0.0728,0.12840428341764928,-0.5669592794128983,1.0,10000,01e98e73f708,discordance_overshoot,False
interneuron_subclass,negative,4,4,0.0,0.04805,0.10725529124476796,-0.4479965458332942,1.0,10000,01e98e73f708,discordance_overshoot,False
HALLMARK_GLYCOLYSIS,positive,200,99,0.04040404040404041,0.04921414141414141,0.02134940462516927,-0.4126626088539531,0.7281271872812719,10000,01e98e73f708,discordance_overshoot,False
HALLMARK_GLYCOLYSIS,negative,200,99,0.050505050505050504,0.04872020202020202,0.02128289566273917,0.08386304726256273,0.5358464153584641,10000,01e98e73f708,discordance_overshoot,False
HALLMARK_OXIDATIVE_PHOSPHORYLATION,positive,200,100,0.02,0.04039000000000001,0.019527106800547797,-1.0441895058118904,0.9192080791920808,10000,01e98e73f708,discordance_overshoot,False
HALLMARK_OXIDATIVE_PHOSPHORYLATION,negative,200,100,0.01,0.04652600000000001,0.020770924967367245,-1.758515812723084,0.993000699930007,10000,01e98e73f708,discordance_overshoot,False
HALLMARK_ANGIOGENESIS,positive,36,14,0.0,0.05889999999999999,0.06322275326662265,-0.9316266210616806,1.0,10000,01e98e73f708,discordance_overshoot,False
HALLMARK_ANGIOGENESIS,negative,36,14,0.0,0.05174285714285713,0.05913684579525901,-0.8749681598169604,1.0,10000,01e98e73f708,discordance_overshoot,False
HALLMARK_HYPOXIA,positive,200,101,0.039603960396039604,0.0512960396039604,0.021583647895679226,-0.5417100605250977,0.7754224577542246,10000,01e98e73f708,discordance_overshoot,False
HALLMARK_HYPOXIA,negative,200,101,0.06930693069306931,0.05284752475247526,0.021990066110593655,0.7484927902360774,0.2863713628637136,10000,01e98e73f708,discordance_overshoot,False
endothelial,positive,6,5,0.2,0.046419999999999996,0.0940275682978136,1.6333507585090998,0.21247875212478753,10000,01e98e73f708,coupling_angle,False
endothelial,negative,6,5,0.0,0.0526,0.09896080032012677,-0.5315235914609124,1.0,10000,01e98e73f708,coupling_angle,False
pericyte_mural,positive,5,3,0.0,0.04686666666666666,0.12148691744838662,-0.3857754205227722,1.0,10000,01e98e73f708,coupling_angle,False
pericyte_mural,negative,5,3,0.0,0.04603333333333333,0.12157685726412829,-0.37863565788121123,1.0,10000,01e98e73f708,coupling_angle,False
astrocyte,positive,4,3,0.0,0.05516666666666666,0.13144908181920142,-0.41968088253780556,1.0,10000,01e98e73f708,coupling_angle,False
astrocyte,negative,4,3,0.0,0.05413333333333334,0.13132920467283735,-0.4121956991073568,1.0,10000,01e98e73f708,coupling_angle,False
glucose_lactate_transport,positive,5,3,0.0,0.058933333333333324,0.13504804083485747,-0.4363879177292141,1.0,10000,01e98e73f708,coupling_angle,False
glucose_lactate_transport,negative,5,3,0.0,0.05506666666666666,0.13279431045375734,-0.4146764005061979,1.0,10000,01e98e73f708,coupling_angle,False
glycolytic_enzymes,positive,6,5,0.0,0.05228000000000001,0.09880689044798445,-0.5291128965091975,1.0,10000,01e98e73f708,coupling_angle,False
glycolytic_enzymes,negative,6,5,0.0,0.05198,0.09918709391851342,-0.5240601165581468,1.0,10000,01e98e73f708,coupling_angle,False
interneuron_subclass,positive,4,4,0.0,0.043625,0.10138101091920518,-0.43030740771333015,1.0,10000,01e98e73f708,coupling_angle,False
interneuron_subclass,negative,4,4,0.25,0.057175,0.11645715682172564,1.6557591243205378,0.208979102089791,10000,01e98e73f708,coupling_angle,False
HALLMARK_GLYCOLYSIS,positive,200,99,0.030303030303030304,0.051116161616161615,0.02211599899368382,-0.9410893588426822,0.8878112188781122,10000,01e98e73f708,coupling_angle,False
HALLMARK_GLYCOLYSIS,negative,200,99,0.020202020202020204,0.052112121212121214,0.021869998304391763,-1.4590810920956072,0.9695030496950305,10000,01e98e73f708,coupling_angle,False
HALLMARK_OXIDATIVE_PHOSPHORYLATION,positive,200,100,0.02,0.05053800000000001,0.021742827690988127,-1.4045091298155883,0.9654034596540346,10000,01e98e73f708,coupling_angle,False
HALLMARK_OXIDATIVE_PHOSPHORYLATION,negative,200,100,0.03,0.05170200000000001,0.021849100576453943,-0.9932674310350122,0.8975102489751025,10000,01e98e73f708,coupling_angle,False
HALLMARK_ANGIOGENESIS,positive,36,14,0.07142857142857142,0.050192857142857136,0.05837566195053607,0.3637768476819693,0.5137486251374862,10000,01e98e73f708,coupling_angle,False
HALLMARK_ANGIOGENESIS,negative,36,14,0.0,0.04649999999999999,0.056242868028592144,-0.8267714935227134,1.0,10000,01e98e73f708,coupling_angle,False
HALLMARK_HYPOXIA,positive,200,101,0.0297029702970297,0.04891584158415842,0.02143229285772981,-0.8964449774303718,0.8744125587441256,10000,01e98e73f708,coupling_angle,False
HALLMARK_HYPOXIA,negative,200,101,0.0297029702970297,0.04925940594059407,0.021525456007885566,-0.9085259627670663,0.8799120087991201,10000,01e98e73f708,coupling_angle,False
endothelial,positive,6,5,0.0,0.04054,0.08804832991033958,-0.4604289489792964,1.0,10000,01e98e73f708,baseline_oef,False
endothelial,negative,6,5,0.0,0.050219999999999994,0.09770338581645982,-0.5140047049581322,1.0,10000,01e98e73f708,baseline_oef,False
pericyte_mural,positive,5,3,0.0,0.04869999999999999,0.1238972647891075,-0.3930675958254204,1.0,10000,01e98e73f708,baseline_oef,False
pericyte_mural,negative,5,3,1.0,0.048666666666666664,0.1246702316780821,7.630797829828565,0.00039996000399960006,10000,01e98e73f708,baseline_oef,False
astrocyte,positive,4,3,0.0,0.056199999999999986,0.13223465674491103,-0.4250020485054332,1.0,10000,01e98e73f708,baseline_oef,False
astrocyte,negative,4,3,0.3333333333333333,0.0525,0.12956926504555177,2.167437881465197,0.1488851114888511,10000,01e98e73f708,baseline_oef,False
glucose_lactate_transport,positive,5,3,0.0,0.06436666666666667,0.1411116146097754,-0.4561401047296054,1.0,10000,01e98e73f708,baseline_oef,False
glucose_lactate_transport,negative,5,3,0.0,0.05323333333333333,0.13055263306421666,-0.40775380843639314,1.0,10000,01e98e73f708,baseline_oef,False
glycolytic_enzymes,positive,6,5,0.0,0.045579999999999996,0.09255519218282678,-0.49246291780113843,1.0,10000,01e98e73f708,baseline_oef,False
glycolytic_enzymes,negative,6,5,0.0,0.039920000000000004,0.08721464097271743,-0.4577213132424385,1.0,10000,01e98e73f708,baseline_oef,False
interneuron_subclass,positive,4,4,0.0,0.04875,0.10693894285993293,-0.4558676072181866,1.0,10000,01e98e73f708,baseline_oef,False
interneuron_subclass,negative,4,4,0.0,0.044725,0.1034694369125492,-0.43225324631659967,1.0,10000,01e98e73f708,baseline_oef,False
HALLMARK_GLYCOLYSIS,positive,200,99,0.06060606060606061,0.051185858585858585,0.021980914911460415,0.42856278085542815,0.39646035396460355,10000,01e98e73f708,baseline_oef,False
HALLMARK_GLYCOLYSIS,negative,200,99,0.0707070707070707,0.04931818181818181,0.021405310142954954,0.9992328420398308,0.21337866213378662,10000,01e98e73f708,baseline_oef,False
