cell,gene_set,n_genes,mediator,outcome,adjusted,probe_selection,lr_mirror,missing,a,a_p,b,b_p,c,c_p,c_prime,c_prime_p,indirect,indirect_p,indirect_p_product,indirect_ci_lo,indirect_ci_hi,proportion_mediated,limiting_path,n_valid,n_perm_exposure,n_perm_outcome,n_boot,method,n_covariates,indirect_p_fdr
01e98e73f708,astrocyte,4,baseline_oef,discordance_extraction,False,diff_stability,,,-0.14415584415584415,0.42105789421057893,-0.32617236673483435,0.030496950304969503,-0.22435816040922107,0.11488851114888511,-0.2713778132761907,0.0580941905809419,0.04701965286696962,0.42105789421057893,0.35236476352364765,-0.01974253935667716,0.12415839765758295,-0.2095740702330929,a,99,10000,10000,500,spearman,0,0.9355664433556644
01e98e73f708,astrocyte,4,baseline_oef,discordance_extraction,True,diff_stability,,,-0.21725590341769305,0.23687631236876314,-0.263340351366976,0.09859014098590141,-0.04956606716970081,0.7203279672032796,-0.10677831311226588,0.44355564443555645,0.05721224594256508,0.23687631236876314,0.16718328167183283,0.00608215808262399,0.12842391638047787,,a,99,10000,10000,500,spearman,3,0.8573642635736426
01e98e73f708,astrocyte,4,baseline_oef,discordance_overshoot,False,diff_stability,,,-0.14415584415584415,0.42105789421057893,0.15097025996126043,0.3698630136986301,0.2743405970452618,0.0570942905709429,0.29610384231240455,0.0420957904209579,-0.021763245267142736,0.42105789421057893,0.21927807219278073,-0.0763082717507729,0.011668762289653729,-0.0793292917692096,a,99,10000,10000,500,spearman,0,0.9380961903809618
01e98e73f708,astrocyte,4,baseline_oef,discordance_overshoot,True,diff_stability,,,-0.21725590341769305,0.23687631236876314,0.0704181957968214,0.7064293570642936,0.12461138380632888,0.3448655134486551,0.1399101525512113,0.31216878312168783,-0.015298768744882429,0.7064293570642936,0.09709029097090291,-0.06946092739642136,0.02959095980752962,-0.12277183895702329,b,99,10000,10000,500,spearman,3,0.964003599640036
01e98e73f708,astrocyte,4,baseline_oef,coupling_angle,False,diff_stability,,,-0.14415584415584415,0.42105789421057893,0.13211541942653468,0.3327667233276672,-0.0749412492269635,0.506049395060494,-0.05589603941352799,0.6406359364063594,-0.019045209813435517,0.42105789421057893,0.43125687431256876,-0.07941032549494571,0.01732666907085267,0.25413520604328466,a,99,10000,10000,500,spearman,0,0.9355664433556644
01e98e73f708,astrocyte,4,baseline_oef,coupling_angle,True,diff_stability,,,-0.21725590341769305,0.23687631236876314,0.12583174230615554,0.37496250374962503,-0.04202497257328795,0.7153284671532847,-0.014687283719941782,0.9003099690030997,-0.027337688853346167,0.37496250374962503,0.2283771622837716,-0.09552846910629167,0.018018670320874695,,b,99,10000,10000,500,spearman,3,0.964003599640036
01e98e73f708,astrocyte,4,baseline_cbv,discordance_extraction,False,diff_stability,,,-0.16351267779839207,0.37896210378962103,0.19435775022653362,0.2460753924607539,-0.22435816040922107,0.11488851114888511,-0.19257820421880953,0.194980501949805,-0.03177995619041155,0.37896210378962103,0.43585641435856415,-0.1049872049130397,0.012835507690366097,0.141648318618971,a,99,10000,10000,500,spearman,0,0.9992000799920008
01e98e73f708,astrocyte,4,baseline_cbv,discordance_extraction,True,diff_stability,,,-0.1617625748501032,0.36276372362763726,0.2487237472457893,0.11588841115888411,-0.04956606716970081,0.7203279672032796,-0.009331873388855666,0.9474052594740526,-0.04023419378084514,0.36276372362763726,0.3481651834816518,-0.11182795405514169,0.003691509436558722,,a,99,10000,10000,500,spearman,3,0.9935006499350064
01e98e73f708,astrocyte,4,baseline_cbv,discordance_overshoot,False,diff_stability,,,-0.16351267779839207,0.37896210378962103,-0.1612331123538709,0.394960503949605,0.2743405970452618,0.0570942905709429,0.24797693909451138,0.0958904109589041,0.02636365795075044,0.394960503949605,0.46395360463953605,-0.015791574771217114,0.08561288173437001,0.09609827431556131,b,99,10000,10000,500,spearman,0,0.9992000799920008
01e98e73f708,astrocyte,4,baseline_cbv,discordance_overshoot,True,diff_stability,,,-0.1617625748501032,0.36276372362763726,-0.223797659039655,0.21327867213278673,0.12461138380632888,0.3448655134486551,0.08840929823464883,0.5413458654134586,0.036202085571680066,0.36276372362763726,0.3728627137286271,-0.004932474024336202,0.09556153919390208,0.29051989044552606,a,99,10000,10000,500,spearman,3,0.9935006499350064
01e98e73f708,astrocyte,4,baseline_cbv,coupling_angle,False,diff_stability,,,-0.16351267779839207,0.37896210378962103,-0.17230913061758804,0.20157984201579843,-0.0749412492269635,0.506049395060494,-0.10311597658335823,0.38966103389661033,0.028174727356394726,0.37896210378962103,0.31886811318868113,-0.01213764992701296,0.1082304341747804,-0.37595753536301596,a,99,10000,10000,500,spearman,0,0.9992000799920008
01e98e73f708,astrocyte,4,baseline_cbv,coupling_angle,True,diff_stability,,,-0.1617625748501032,0.36276372362763726,-0.1860837832886117,0.17398260173982602,-0.04202497257328795,0.7153284671532847,-0.07212636449590239,0.5516448355164484,0.03010139192261443,0.36276372362763726,0.32556744325567444,-0.004218555486874032,0.09133811295472377,,a,99,10000,10000,500,spearman,3,0.9935006499350064
