gene,rho,p_spin,p_fdr
SLC39A10,-0.12122904953002933,0.3250674932506749,0.6551741305112788
FRMD6,-0.12126515826201806,0.38746125387461255,0.6931472197929461
RRAS2,-0.12131330323800296,0.3454654534546545,0.6668509042402251
PSENEN,-0.1213313576039973,0.32556744325567444,0.6554964624051086
PROCA1,-0.1214035750679747,0.31686831316868314,0.6485317049938549
BEGAIN,-0.12145172004395956,0.39406059394060594,0.6987607064536264
TPK1,-0.1214818106539502,0.5474452554744526,0.7831847059560314
HIST1H2AK,-0.12150588314194266,0.2585741425857414,0.6020295118546398
XPO5,-0.121523937507937,0.35026497350264973,0.670045539086989
BBS5,-0.12153597375193319,0.34456554344565543,0.6666235268024269
OST4,-0.12154800999592946,0.43185681431856815,0.7236384900492262
LMO3,-0.1216563361918955,0.3417658234176582,0.6646628829140382
POLE4,-0.12168642680188609,0.36466353364663534,0.6799759392226027
SCN3A,-0.12171049928987851,0.33186681331866813,0.6593778737092629
MEIS3,-0.12175864426586344,0.33286671332866713,0.6597390067444868
DISP2,-0.1218128073638465,0.2712728727127287,0.6106027601465206
LOC100506100,-0.12182484360784271,0.3731626837316268,0.6853078637551614
PTRHD1,-0.1218489160958352,0.3077692230776922,0.6417226719839567
PRELP,-0.12195122416980314,0.2793720627937206,0.6190245793444918
CCSER2,-0.12210167721975601,0.25577442255774424,0.6003811491555863
EXOSC4,-0.12215584031773907,0.28017198280171984,0.6193657867642631
UBL5,-0.12228222087969949,0.35926407359264073,0.6762980879826127
COL12A1,-0.12228823900169762,0.403959604039596,0.703467451211746
NR2C2,-0.12251692763762596,0.2940705929407059,0.6282631686733915
RDH12,-0.12265534444358261,0.30926907309269075,0.6429276584536668
TCEAL9,-0.12271552566356375,0.253974602539746,0.5983535553078598
CYSTM1,-0.12283588810352607,0.30356964303569645,0.6382054123354787
APTR,-0.1229261599334978,0.33456654334566543,0.6606017712719993
ZNF469,-0.12307059486145254,0.37336266373362664,0.6853469714047978
C9orf116,-0.12318493917941672,0.2830716928307169,0.6204122730584084
