gene,rho,p_spin,p_fdr,p_maxt
BMS1P4,-0.06442747778026892,0.6338366163383662,0.8479900309288798,1.0
SLAMF8,-0.06457791085624784,0.5974402559744025,0.8322496845847561,1.0
PLA2G4A,-0.06466215337879608,0.64003599640036,0.8499092957740237,1.0
UBA6,-0.06468622267095273,0.6641335866413358,0.8619127934922244,1.0
HIST1H1D,-0.0647102919631093,0.7197280271972802,0.8821148212393446,1.0
PCDHB8,-0.0647163092861485,0.6424357564243576,0.8517400502875868,1.0
SOCS7,-0.06472834393222683,0.6396360363963604,0.8496723933425847,1.0
STK4-AS1,-0.06485470771604913,0.6215378462153784,0.8439683092178931,1.0
GRM4,-0.06486674236212742,0.6259374062593741,0.8456409640726068,1.0
SP9,-0.06490886362340156,0.6832316768323168,0.8687475359873262,1.0
ZNF7,-0.06492691559251904,0.7335266473352665,0.886566244100456,1.0
SV2B,-0.06498107149987142,0.5968403159684031,0.8321340831033176,1.0
DLG5,-0.06498107149987145,0.6284371562843716,0.8466019121852437,1.0
RIMS3,-0.06499310614594977,0.6978302169783022,0.8746759697498638,1.0
CRTAP,-0.06502319276114556,0.6425357464253575,0.8517400502875868,1.0
ID2,-0.06502319276114557,0.6879312068793121,0.8698787508829418,1.0
MOSPD2,-0.06503522740722387,0.5840415958404159,0.8279430502583857,1.0
ATAD1,-0.06512548725281124,0.6087391260873912,0.8377669214818583,1.0
RNF2,-0.06512548725281127,0.6044395560443956,0.836203613681185,1.0
MTMR12,-0.06517964316016368,0.648935106489351,0.8549179434512749,1.0
HAR1A,-0.06521574709839867,0.5946405359464053,0.8315077913816474,1.0
PDZRN4,-0.06535414552829927,0.6682331766823317,0.8631752752144141,1.0
SLC6A10P,-0.06538423214349508,0.6351364863513649,0.8488407127225943,1.0
ZDHHC23,-0.06552864789643484,0.6652334766523348,0.8622866383745138,1.0
DNAJC14,-0.06560687309594393,0.5536446355364464,0.8113210459618923,1.0
RNF149,-0.06573925420280541,0.5842415758424158,0.8279430502583857,1.0
PTBP3,-0.06582349672535362,0.5969403059694031,0.8321340831033176,1.0
MAP4K2,-0.06582951404839278,0.692930706929307,0.8726884658439427,1.0
KPNA5,-0.06585960066358856,0.6512348765123488,0.8560362472750154,1.0
C8orf31,-0.06588366995574524,0.6221377862213778,0.8439683092178931,1.0
MBD3,-0.06594384318613683,0.5442455754424558,0.8058541762114081,1.0
FAM117B,-0.06599198177045007,0.7451254874512548,0.893245727779152,1.0
ZNF322,-0.0660160510626067,0.700929907009299,0.8763051975161081,1.0
REEP5,-0.06604613767780243,0.6406359364063594,0.8502643419686411,1.0
EFCAB11,-0.06604613767780249,0.5917408259174083,0.8309154445946072,1.0
LRP2,-0.0660882589390766,0.5820417958204179,0.8265618540904657,1.0
PCNX2,-0.06616046681554652,0.6644335566443356,0.8620103821823502,1.0
PPP1R17,-0.06628081327632968,0.6892310768923108,0.8704592168376182,1.0
KAT6A,-0.06628683059936884,0.6796320367963203,0.866757214552859,1.0
RRM2B,-0.06629284792240803,0.6387361263873612,0.8496723933425847,1.0
GLRX2,-0.06632293453760377,0.5922407759224078,0.8309971562258764,1.0
ADGRA2,-0.06632895186064293,0.6837316268373163,0.8688239857260133,1.0
SLC24A4,-0.06641319438319114,0.6872312768723128,0.869669013959848,1.0
LMTK3,-0.06641319438319115,0.6176382361763824,0.8413832028227777,1.0
LYRM4,-0.06662981801260083,0.5868413158684131,0.8287400924979272,1.0
CCNI,-0.06670202588907075,0.668033196680332,0.8631752752144141,1.0
POLDIP2,-0.06670804321210991,0.6069393060693931,0.8368190684077377,1.0
GLRX,-0.06674414715034489,0.5913408659134086,0.8306814438497553,1.0
CYP1B1,-0.0667983030576973,0.6292370762923708,0.8466019121852437,1.0
PEX14,-0.06684644164201056,0.5174482551744826,0.7934482441400003,1.0
VPS13D,-0.06687652825720633,0.5829417058294171,0.8273690669785936,1.0
FAM13A,-0.06695475345671545,0.622937706229377,0.8441439904764161,1.0
RBKS,-0.06696077077975458,0.587941205879412,0.8288015160990791,1.0
PCSK2,-0.06699085739495036,0.563043695630437,0.8164489442294441,1.0
XPNPEP1,-0.0670389959792636,0.5761423857614238,0.822907280966503,1.0
STAG3,-0.06705103062534193,0.5664433556644336,0.8168115318567786,1.0
HDHD2,-0.0672014637013209,0.5986401359864013,0.8330133967735301,1.0
HECA,-0.06720748102436006,0.6275372462753724,0.8466019121852437,1.0
SUSD4,-0.06727968890082997,0.6173382661733826,0.8413832028227777,1.0
FAM120C,-0.06730977551602574,0.6697330266973303,0.8631752752144141,1.0
PRH2,-0.06738198339249564,0.6893310668933107,0.8704592168376182,1.0
C11orf24,-0.0674481739459264,0.6244375562443756,0.8447780530371355,1.0
TMEM88,-0.0674541912689656,0.6320367963203679,0.8466019121852437,1.0
PAK1,-0.06752639914543546,0.5426457354264573,0.805046961454725,1.0
NUDT12,-0.06770691883661022,0.6033396660333966,0.8359131572391892,1.0
MARCH6,-0.06782124797435422,0.5958404159584042,0.8315077913816474,1.0
STAM,-0.0678272652973934,0.5718428157184282,0.8208935797417826,1.0
UBLCP1,-0.06785735191258911,0.5718428157184282,0.8208935797417826,1.0
RSBN1,-0.06795964640425486,0.6178382161783822,0.8413832028227777,1.0
ZFHX2,-0.06797168105033319,0.5784421557844216,0.8240437100420717,1.0
WDSUB1,-0.06800778498856813,0.6158384161583842,0.8406265620101098,1.0
SLC35B4,-0.06803185428072475,0.597040295970403,0.8321340831033176,1.0
PIN4,-0.06822440861797784,0.5449455054494551,0.8062299743050744,1.0
GRAMD1B,-0.06825449523317362,0.643035696430357,0.8517400502875868,1.0
MINDY3,-0.06827856452533027,0.6393360663933607,0.8496723933425847,1.0
RETREG1,-0.06842298027827003,0.5715428457154285,0.8208935797417826,1.0
SMARCC1,-0.06845908421650498,0.6125387461253875,0.838933600392192,1.0
HTR2A,-0.0685312920929749,0.6665333466653335,0.8630312546414443,1.0
NEK10,-0.06854934406209237,0.6091390860913909,0.8377669214818583,1.0
ZNF275,-0.0685854480003274,0.5682431756824318,0.8189449751003856,1.0
RAB40A,-0.06865163855375808,0.6004399560043996,0.8344581378064404,1.0
AIFM3,-0.0686757078459147,0.6404359564043596,0.850146034202395,1.0
CCDC181,-0.06877198501454122,0.5818418158184182,0.8264308754309754,1.0
NCK2,-0.06899462596699012,0.6703329667033296,0.8633673855954446,1.0
MYLK2,-0.06919319762728234,0.6585341465853415,0.86073096267886,1.0
VIPR2,-0.069295492118948,0.6884311568843116,0.8698787508829418,1.0
MXD4,-0.06939778661061372,0.662033796620338,0.8615200576990147,1.0
BMPER,-0.06948202913316193,0.5516448355164484,0.8105585993124826,1.0
LINC00672,-0.06948804645620103,0.6594340565943405,0.86076569334217,1.0
KIFC2,-0.0694880464562011,0.6365363463653635,0.8490841350647544,1.0
EXOC1,-0.06953618504051436,0.5332466753324667,0.8002351789865035,1.0
GRK5,-0.06959635827090596,0.5945405459454055,0.8315077913816474,1.0
ATL2,-0.06965051417825834,0.6316368363163684,0.8466019121852437,1.0
STAM2,-0.06969865276257164,0.6068393160683931,0.8368190684077377,1.0
DNAJC4,-0.06985510316158977,0.6358364163583642,0.8488458739373105,1.0
MPC1,-0.0698912070998247,0.6178382161783822,0.8413832028227777,1.0
DOK7,-0.06991527639198138,0.597940205979402,0.8326317486240122,1.0
ZNF555,-0.06993332836109883,0.6394360563943605,0.8496723933425847,1.0
TMX2,-0.06996943229933375,0.5395460453954605,0.8036915640734064,1.0
MATK,-0.06997544962237294,0.6384361563843616,0.8496723933425847,1.0
NXNL2,-0.07022817719001755,0.5251474852514748,0.7979162464102242,1.0
CD52,-0.07034852365080073,0.6854314568543146,0.8691121299508338,1.0
MMP16,-0.07036657561991819,0.6129387061293871,0.8390576255599498,1.0
P2RX6,-0.07043878349638813,0.6638336166383362,0.8617990798652408,1.0
TBC1D19,-0.07058921657236705,0.6627337266273373,0.8617495296540808,1.0
MED6,-0.07059523389540621,0.5589441055894411,0.8139193669325914,1.0
PPP1R14A,-0.07063735515668035,0.5812418758124187,0.8260376482270245,1.0
LMBR1,-0.07085397878609007,0.6144385561443856,0.8396122796414461,1.0
PLAU,-0.07104051580030395,0.6318368163183682,0.8466019121852437,1.0
PNMA3,-0.07125713942971362,0.5463453654634537,0.8069456870989197,1.0
