gene,rho,p_spin,p_fdr
ZNF772,0.2025922592259226,0.28017198280171984,0.9999000099990001
ERLIN1,0.20214821482148215,0.45245475452454753,0.9999000099990001
TGFBR3L,0.20184818481848188,0.33626637336266374,0.9999000099990001
C8orf44,0.20163216321632166,0.2813718628137186,0.9999000099990001
FOXP2,0.2010681068106811,0.4450554944505549,0.9999000099990001
SLC27A3,0.20092409240924097,0.5004499550044995,0.9999000099990001
TMEM8B,0.2001920192019202,0.3177682231776822,0.9999000099990001
LINC00909,0.19980798079807988,0.39566043395660433,0.9999000099990001
CXXC5,0.19972397239723977,0.1121887811218878,0.9999000099990001
SDHAF1,0.19951995199519956,0.2722727727227277,0.9999000099990001
HERC5,0.19945994599459949,0.23977602239776022,0.9999000099990001
WDR73,0.19943594359435945,0.1207879212078792,0.9999000099990001
LARP6,0.19894389438943894,0.258974102589741,0.9999000099990001
AK8,0.19863186318631865,0.260973902609739,0.9999000099990001
DONSON,0.19833183318331837,0.20687931206879312,0.9999000099990001
BRINP3,0.19812781278127817,0.42515748425157485,0.9999000099990001
ZDHHC16,0.19795979597959804,0.2308769123087691,0.9999000099990001
ZNF324,0.19793579357935795,0.2602739726027397,0.9999000099990001
ARHGAP10,0.1974797479747975,0.20467953204679531,0.9999000099990001
MPV17L2,0.19739573957395748,0.4894510548945106,0.9999000099990001
HILS1,0.1973957395739574,0.2843715628437156,0.9999000099990001
CD34,0.19713171317131717,0.22567743225677434,0.9999000099990001
TCF3,0.19704770477047706,0.11038896110388961,0.9999000099990001
SPATS2L,0.1967596759675968,0.2770722927707229,0.9999000099990001
MCM5,0.19672367236723676,0.09759024097590241,0.9999000099990001
JCAD,0.1965676567656766,0.40605939406059394,0.9999000099990001
RBM25,0.19650765076507654,0.32056794320567944,0.9999000099990001
SNED1,0.19643564356435644,0.22797720227977203,0.9999000099990001
FAM110A,0.19615961596159626,0.38846115388461155,0.9999000099990001
ST6GAL2,0.19582358235823585,0.43745625437456254,0.9999000099990001
ARRDC1,0.19531953195319535,0.22447755224477553,0.9999000099990001
PAN2,0.1947674767476748,0.2562743725627437,0.9999000099990001
NEUROD1,0.19450345034503455,0.3060693930606939,0.9999000099990001
CASP5,0.19443144314431446,0.24637536246375363,0.9999000099990001
NR2F1,0.19411941194119417,0.5074492550744926,0.9999000099990001
SERPING1,0.19404740474047405,0.35266473352664734,0.9999000099990001
SAMD9,0.1938793879387939,0.46225377462253775,0.9999000099990001
