parcellation,parcel_index,parcel_name,hemisphere,baseline_oef,baseline_cbf,baseline_cmro2,coupling_n_angle,discordance_risk,discordance_risk_extraction,discordance_risk_overshoot,discordance_risk_n,dropout_snr_coverage,venous_partial_volume,map_reliability_coupling,n_subjects_coupling,baseline_source,coupling_source,ahba_n_samples
schaefer200x7,41,7Networks_LH_DorsAttn_FEF_1,L,0.3745535016059875,53.823516845703125,154.32212829589844,0.8542642572774839,0.6,0.4,0.2,40,0.7326732873916626,0.0051547237671911,0.7105135837439973,40,authors_published_GMR2pCBVmasked_n40,reconstructed_unmasked_n40,9
schaefer200x7,42,7Networks_LH_DorsAttn_FEF_2,L,0.3969268202781677,50.38139724731445,146.5941925048828,0.9250925138242228,0.6,0.25,0.35,40,0.5633803009986877,0.0085143856704235,0.7105135837439973,40,authors_published_GMR2pCBVmasked_n40,reconstructed_unmasked_n40,9
schaefer200x7,43,7Networks_LH_DorsAttn_PrCv_1,L,0.3666289150714874,55.76870727539063,152.2110137939453,1.0972116839690962,0.625,0.125,0.5,40,0.790123462677002,0.0061024422757327,0.7105135837439973,40,authors_published_GMR2pCBVmasked_n40,reconstructed_unmasked_n40,6
schaefer200x7,44,7Networks_LH_SalVentAttn_ParOper_1,L,0.3738835155963897,41.91228485107422,120.3263931274414,0.5428512703481598,0.775,0.5,0.275,40,0.698924720287323,0.020390260964632,0.7105135837439973,40,authors_published_GMR2pCBVmasked_n40,reconstructed_unmasked_n40,15
schaefer200x7,45,7Networks_LH_SalVentAttn_ParOper_2,L,0.3411996364593506,43.23243713378906,111.88648223876952,0.2345535240870127,0.675,0.525,0.15,40,0.5609756112098694,0.0063532539643347,0.7105135837439973,40,authors_published_GMR2pCBVmasked_n40,reconstructed_unmasked_n40,7
schaefer200x7,46,7Networks_LH_SalVentAttn_ParOper_3,L,0.3503427803516388,45.92510986328125,121.0352783203125,0.7089797566960258,0.725,0.5,0.225,40,0.5,0.0007058617193251,0.7105135837439973,40,authors_published_GMR2pCBVmasked_n40,reconstructed_unmasked_n40,3
schaefer200x7,47,7Networks_LH_SalVentAttn_FrOperIns_1,L,0.2856149971485138,40.65584945678711,86.11019897460938,-0.0617894846030523,0.675,0.475,0.2,40,0.8582677245140076,0.0240489467978477,0.7105135837439973,40,authors_published_GMR2pCBVmasked_n40,reconstructed_unmasked_n40,8
schaefer200x7,48,7Networks_LH_SalVentAttn_FrOperIns_2,L,0.3698974847793579,39.05085372924805,102.5896224975586,0.8463920642100206,0.5,0.325,0.175,40,0.780701756477356,0.0179837308824062,0.7105135837439973,40,authors_published_GMR2pCBVmasked_n40,reconstructed_unmasked_n40,6
schaefer200x7,49,7Networks_LH_SalVentAttn_FrOperIns_3,L,0.3611299693584442,32.590572357177734,84.42051696777344,-0.287323184809106,0.7,0.575,0.125,40,0.6279069781303406,0.0249026995152235,0.7105135837439973,40,authors_published_GMR2pCBVmasked_n40,reconstructed_unmasked_n40,6
schaefer200x7,50,7Networks_LH_SalVentAttn_FrOperIns_4,L,0.3315431475639343,50.45005416870117,127.41922760009766,0.5385621856325096,0.575,0.3,0.275,40,0.9186046719551086,0.0091136898845434,0.7105135837439973,40,authors_published_GMR2pCBVmasked_n40,reconstructed_unmasked_n40,6
schaefer200x7,51,7Networks_LH_SalVentAttn_PFCl_1,L,0.3581226766109466,52.46164321899414,142.22157287597656,0.4502826988010729,0.6,0.25,0.35,40,0.6551724076271057,0.0063498220406472,0.7105135837439973,40,authors_published_GMR2pCBVmasked_n40,reconstructed_unmasked_n40,8
